doc_id,title,source,url,word_count,char_count,raw_path,cleaned_path,locations,persons,organizations,heritage_types,domains,time_period,region,tangibility,cluster
0,World Heritage Site,Unknown,https://en.wikipedia.org/wiki/World_Heritage_Site,3280,21611,data/raw\001_World Heritage Site.json,data/cleaned data\.\001_World Heritage Site.txt,"['Egypt', 'Nile', 'Nubia', 'Sudan']",[],"['UNESCO', 'World Heritage Committee', 'A World Heritage Site', 'The World Heritage Sites', 'World Heritage Program', 'the United Nations General Assembly', 'Program', 'the Convention Concerning the Protection of the World Cultural and Natural Heritage', 'the General Conference of UNESCO', 'the United Nations Educational, Scientific and Cultural Organization', 'the International Campaign to Save the Monuments of Nubia', 'Asi']","['site', 'monument']","['cultural', 'architectural', 'religious']",ancient,west,tangible,-1
1,List of World Heritage Sites in India,Indian Heritage,https://en.wikipedia.org/wiki/List_of_World_Heritage_Sites_in_India,709,4594,data/raw\002_List of World Heritage Sites in India.json,data/cleaned data\.\002_List of World Heritage Sites in India.txt,"['India', 'Agra', 'Hampi', 'Ellora Caves', 'Ajanta Caves', 'Taj Mahal']","['Agra Fort', 'Taj Mahal']","['The United Nations Educational, Scientific and Cultural Organization', 'UNESCO', 'World Heritage Sites', 'the Ajanta Caves, Ellora Caves', 'the World Heritage Committee', 'the Maratha Military Landscapes of', 'the Manas Wildlife Sanctuary', 'Bodo', 'The Architectural Work of', 'Le Corbusier', 'the World Heritage List', 'List of Intangible Cultural Heritage', 'UNESCO Memory', 'the World Register', 'Maratha']","['site', 'monument']","['cultural', 'architectural', 'military']",unknown,india,tangible,-1
2,Lists of World Heritage Sites,Unknown,https://en.wikipedia.org/wiki/Lists_of_World_Heritage_Sites,501,3265,data/raw\002_Lists of World Heritage Sites.json,data/cleaned data\.\002_Lists of World Heritage Sites.txt,"['Africa', 'Asia', 'Europe', 'Australia', 'New Zealand', 'Melanesia', 'Fiji', 'Papua New Guinea', 'Solomon Islands', 'Kiribati', 'the Marshall Islands\nList of World Heritage Sites', 'the Federated States', 'Palau', 'Polynesia', 'Tonga']",['Micronesia'],"['The United Nations Educational, Scientific and Cultural Organization', 'UNESCO', 'the World Heritage List', 'United Nations', 'Vanuatu\nList of World Heritage Sites', 'Micronesia\nList of World Heritage Sites', 'Nauru\nList of World Heritage Sites', 'Asi']","['site', 'monument']","['cultural', 'archaeological', 'architectural']",unknown,unknown,tangible,-1
3,List of World Heritage Sites in India,Indian Heritage,https://en.wikipedia.org/wiki/List_of_World_Heritage_Sites_in_India,709,4594,data/raw\003_List of World Heritage Sites in India.json,data/cleaned data\.\003_List of World Heritage Sites in India.txt,"['India', 'Agra', 'Hampi', 'Ellora Caves', 'Ajanta Caves', 'Taj Mahal']","['Agra Fort', 'Taj Mahal']","['The United Nations Educational, Scientific and Cultural Organization', 'UNESCO', 'World Heritage Sites', 'the Ajanta Caves, Ellora Caves', 'the World Heritage Committee', 'the Maratha Military Landscapes of', 'the Manas Wildlife Sanctuary', 'Bodo', 'The Architectural Work of', 'Le Corbusier', 'the World Heritage List', 'List of Intangible Cultural Heritage', 'UNESCO Memory', 'the World Register', 'Maratha']","['site', 'monument']","['cultural', 'architectural', 'military']",unknown,india,tangible,-1
4,Lists of World Heritage Sites,Unknown,https://en.wikipedia.org/wiki/Lists_of_World_Heritage_Sites,501,3265,data/raw\003_Lists of World Heritage Sites.json,data/cleaned data\.\003_Lists of World Heritage Sites.txt,"['Africa', 'Asia', 'Europe', 'Australia', 'New Zealand', 'Melanesia', 'Fiji', 'Papua New Guinea', 'Solomon Islands', 'Kiribati', 'the Marshall Islands\nList of World Heritage Sites', 'the Federated States', 'Palau', 'Polynesia', 'Tonga']",['Micronesia'],"['The United Nations Educational, Scientific and Cultural Organization', 'UNESCO', 'the World Heritage List', 'United Nations', 'Vanuatu\nList of World Heritage Sites', 'Micronesia\nList of World Heritage Sites', 'Nauru\nList of World Heritage Sites', 'Asi']","['site', 'monument']","['cultural', 'archaeological', 'architectural']",unknown,unknown,tangible,-1
5,List of World Heritage Sites in the United States,Unknown,https://en.wikipedia.org/wiki/List_of_World_Heritage_Sites_in_the_United_States,780,5136,data/raw\004_List of World Heritage Sites in the United States.json,data/cleaned data\.\004_List of World Heritage Sites in the United States.txt,"['the United States', 'Washington', 'D.C.', 'Denmark', 'Germany', 'the United Kingdom', 'Arizona', 'California', 'Hawaii', 'Illinois', 'Montana', 'New Mexico', 'New York', 'Pennsylvania', 'Canada', 'Papahānaumokuākea']",['Frank Lloyd Wright'],"['The United Nations Educational, Scientific and Cultural Organization', 'UNESCO', 'Mesa Verde National Park', 'Yellowstone National Park', 'the World Heritage Committee', 'the Historic Moravian Bethlehem District', 'Moravian Church Settlements', 'the World Heritage List']","['site', 'monument']","['cultural', 'architectural', 'religious']",unknown,unknown,tangible,-1
6,List of World Heritage Sites in China,Unknown,https://en.wikipedia.org/wiki/List_of_World_Heritage_Sites_in_China,546,3524,data/raw\005_List of World Heritage Sites in China.json,data/cleaned data\.\005_List of World Heritage Sites in China.txt,"['China', 'Italy', 'Kazakhstan', 'Kyrgyzstan']",[],"['The United Nations Educational, Scientific and Cultural Organization', 'UNESCO', 'the Xixia Imperial Tombs', 'the Routes Network', ""Chang'an-Tianshan Corridor"", 'the World Heritage List']","['site', 'monument']","['cultural', 'royal', 'archaeological']",unknown,unknown,tangible,-1
7,Former World Heritage Sites,Unknown,https://en.wikipedia.org/wiki/Former_World_Heritage_Sites,1000,6300,data/raw\006_Former World Heritage Sites.json,data/cleaned data\.\006_Former World Heritage Sites.txt,"['Oman', 'Germany', 'the United Kingdom', 'Dresden Elbe Valley', 'Dresden', 'Seville', 'Mercantile City', 'Liverpool', 'Britain', 'Agra']",['Arabian Oryx Sanctuary'],"['the World Heritage Convention', 'World Heritage', 'the Operational Guidelines', 'the World Heritage List', 'the Arabian Oryx Sanctuary', 'Liverpool Maritime Mercantile City', 'Arabian Oryx Sanctuary', 'UNESCO', 'World Heritage List', 'a World Heritage Site', 'World Heritage Site', 'the World Heritage Committee', 'Liverpool Waters', 'Liverpool', 'Asi']","['site', 'architecture']","['cultural', 'architectural', 'royal']",unknown,unknown,tangible,-1
8,World Heritage Sites by country,Unknown,https://en.wikipedia.org/wiki/World_Heritage_Sites_by_country,503,3214,data/raw\007_World Heritage Sites by country.json,data/cleaned data\.\007_World Heritage Sites by country.txt,"['Africa', 'the Arab States', 'Asia', 'Pacific', 'Europe', 'North America', 'Latin America', 'Caribbean', 'Italy', 'China', 'Germany', 'France', 'Bahamas', 'Bhutan', 'Brunei', 'Burundi', 'the Cook Islands', 'Djibouti', 'Equatorial Guinea', 'Grenada']",['Liechtenstein'],"['the World Heritage Committee', 'the World Heritage Convention', 'the World Heritage List', 'Eswatini', 'Tobago', 'Tuvalu', 'Lists of World Heritage Sites', 'UNESCO World Heritage', 'World Heritage Earthen Architecture Programme', 'VRheritage.org – Documentation of World Heritage Sites', 'The Official World Heritage List', 'Convention Concerning the Protection of the World Cultural and Natural Heritage', 'Organization of World Heritage Cities', 'Asi', 'Unesco']","['site', 'art']","['cultural', 'architectural']",unknown,unknown,tangible,-1
9,List of World Heritage Sites in Japan,Unknown,https://en.wikipedia.org/wiki/List_of_World_Heritage_Sites_in_Japan,513,3386,data/raw\008_List of World Heritage Sites in Japan.json,data/cleaned data\.\008_List of World Heritage Sites in Japan.txt,['Japan'],['Sado'],"['The United Nations Educational, Scientific and Cultural Organization', 'UNESCO', 'The Architectural Work of', 'Le Corbusier', 'the World Heritage Committee', 'the World Heritage List', 'List of Intangible Cultural Heritage']","['site', 'monument']","['cultural', 'archaeological', 'architectural']",unknown,unknown,tangible,-1
10,Monuments of National Importance,Unknown,https://en.wikipedia.org/wiki/Monuments_of_National_Importance,388,2469,data/raw\009_Monuments of National Importance.json,data/cleaned data\.\009_Monuments of National Importance.txt,['India'],[],"['Monuments of National Importance', 'An Archaeological Sites', 'Ancient Monument', 'the Archaeological Survey of', 'National Monument Authority', 'the Archaeological Survey of India', 'PIB', 'Asi', 'Archaeological Survey Of India']","['monument', 'site']","['archaeological', 'cultural', 'architectural']",ancient,india,tangible,-1
11,Ancient monument,Unknown,https://en.wikipedia.org/wiki/Ancient_monument,2113,14201,data/raw\010_Ancient monument.json,data/cleaned data\.\010_Ancient monument.txt,"['Europe', 'United Kingdom', 'England', 'Ireland']","['Baalbek', 'the Angkor Wat', 'Preservation', 'Akbar', 'Aurangzeb']","['The Ancient Monuments and Archaeological Areas Act', 'State', 'the Ancient Monuments Protection Act', 'the Ancient Monuments Consolidation', 'Preservation Orders', 'the Commissioners of Works', 'Asi', 'Mughal']","['monument', 'site']","['archaeological', 'cultural', 'religious']",ancient,unknown,tangible,-1
12,Ancient Monuments Preservation Act 1904,Unknown,https://en.wikipedia.org/wiki/Ancient_Monuments_Preservation_Act_1904,385,2654,data/raw\011_Ancient Monuments Preservation Act 1904.json,data/cleaned data\.\011_Ancient Monuments Preservation Act 1904.txt,['India'],[],"['Archaeological Survey', 'The Ancient Monuments Preservation Act', 'Power of Central Government', 'Relinquishment of Government', 'Central Government', 'Protection of Sculptures', 'Bas-Reliefs', 'Archaeological Survey Of India']","['monument', 'art']","['archaeological', 'cultural', 'religious']",ancient,india,tangible,-1
